Trial 164 5-Bit QAT Model Prune Iter: 0, Test Mean Dist: 0.279821515083313, Val Mean Dist: 0.2762105166912079, Val Loss: 0.0005106637223174662, Sparsities: (tensor(0., device='cuda:4'), tensor(0., device='cuda:4'), tensor(0., device='cuda:4'), tensor(0., device='cuda:4'), tensor(0., device='cuda:4'), tensor(0., device='cuda:4'), tensor(0., device='cuda:4'), tensor(0., device='cuda:4'), tensor(0., device='cuda:4'), tensor(0., device='cuda:4'), tensor(0., device='cuda:4'))
Trial 164 6-Bit QAT Model Prune Iter: 11, Test Mean Dist: 0.25437095761299133, Val Mean Dist: 0.25067806243896484, Val Loss: 0.0004929929210837665, Sparsities: (tensor(0.8750, device='cuda:4'), tensor(0.9375, device='cuda:4'), tensor(0.3594, device='cuda:4'), tensor(0.5000, device='cuda:4'), tensor(0.5842, device='cuda:4'), tensor(0.8212, device='cuda:4'), tensor(0.9970, device='cuda:4'), tensor(0.9954, device='cuda:4'), tensor(0.3125, device='cuda:4'), tensor(0.3750, device='cuda:4'), tensor(0.7500, device='cuda:4'))
Trial 164 7-Bit QAT Model Prune Iter: 13, Test Mean Dist: 0.38529735803604126, Val Mean Dist: 0.3853035569190979, Val Loss: 0.0007053514584965472, Sparsities: (tensor(0.9097, device='cuda:3'), tensor(1., device='cuda:3'), tensor(0.7500, device='cuda:3'), tensor(0.8281, device='cuda:3'), tensor(0.7378, device='cuda:3'), tensor(0.8598, device='cuda:3'), tensor(0.9970, device='cuda:3'), tensor(1., device='cuda:3'), tensor(0.6250, device='cuda:3'), tensor(0.6875, device='cuda:3'), tensor(1., device='cuda:3'))
Trial 164 5-Bit QAT Model Prune Iter: 11, Test Mean Dist: 0.34698450565338135, Val Mean Dist: 0.3477496802806854, Val Loss: 0.0007172039747404467, Sparsities: (tensor(0.9271, device='cuda:4'), tensor(0.9688, device='cuda:4'), tensor(0.8828, device='cuda:4'), tensor(0.8047, device='cuda:4'), tensor(0.6050, device='cuda:4'), tensor(0.7995, device='cuda:4'), tensor(0.9848, device='cuda:4'), tensor(0.9870, device='cuda:4'), tensor(0.3750, device='cuda:4'), tensor(0.0625, device='cuda:4'), tensor(0.6250, device='cuda:4'))
Trial 164 7-Bit QAT Model Prune Iter: 14, Test Mean Dist: 0.3853236138820648, Val Mean Dist: 0.3853384256362915, Val Loss: 0.0007055411718153794, Sparsities: (tensor(0.9132, device='cuda:3'), tensor(1., device='cuda:3'), tensor(0.7578, device='cuda:3'), tensor(0.8828, device='cuda:3'), tensor(0.7830, device='cuda:3'), tensor(0.8898, device='cuda:3'), tensor(1., device='cuda:3'), tensor(1., device='cuda:3'), tensor(0.6875, device='cuda:3'), tensor(0.7500, device='cuda:3'), tensor(1., device='cuda:3'))
Trial 164 8-Bit QAT Model Prune Iter: 13, Test Mean Dist: 0.38529855012893677, Val Mean Dist: 0.3852943181991577, Val Loss: 0.000705264273814724, Sparsities: (tensor(0.9722, device='cuda:3'), tensor(1., device='cuda:3'), tensor(0.7422, device='cuda:3'), tensor(0.8203, device='cuda:3'), tensor(0.7135, device='cuda:3'), tensor(0.8607, device='cuda:3'), tensor(1., device='cuda:3'), tensor(0.9987, device='cuda:3'), tensor(0.7500, device='cuda:3'), tensor(0.5625, device='cuda:3'), tensor(1., device='cuda:3'))
Trial 164 6-Bit QAT Model Prune Iter: 12, Test Mean Dist: 0.23626485466957092, Val Mean Dist: 0.23377546668052673, Val Loss: 0.00044723359834668893, Sparsities: (tensor(0.9132, device='cuda:4'), tensor(0.9375, device='cuda:4'), tensor(0.3984, device='cuda:4'), tensor(0.5625, device='cuda:4'), tensor(0.6658, device='cuda:4'), tensor(0.8668, device='cuda:4'), tensor(0.9978, device='cuda:4'), tensor(0.9954, device='cuda:4'), tensor(0.3750, device='cuda:4'), tensor(0.4375, device='cuda:4'), tensor(0.7500, device='cuda:4'))
Trial 164 5-Bit QAT Model Prune Iter: 12, Test Mean Dist: 0.438170462846756, Val Mean Dist: 0.4372572600841522, Val Loss: 0.0009826582681853324, Sparsities: (tensor(0.9653, device='cuda:4'), tensor(0.9766, device='cuda:4'), tensor(0.9062, device='cuda:4'), tensor(0.8359, device='cuda:4'), tensor(0.6701, device='cuda:4'), tensor(0.8442, device='cuda:4'), tensor(0.9885, device='cuda:4'), tensor(0.9894, device='cuda:4'), tensor(0.3750, device='cuda:4'), tensor(0.3750, device='cuda:4'), tensor(0.6250, device='cuda:4'))
Trial 164 7-Bit QAT Model Prune Iter: 15, Test Mean Dist: 0.38542330265045166, Val Mean Dist: 0.38546648621559143, Val Loss: 0.0007063068540966404, Sparsities: (tensor(0.9167, device='cuda:3'), tensor(1., device='cuda:3'), tensor(0.7734, device='cuda:3'), tensor(0.9219, device='cuda:3'), tensor(0.8212, device='cuda:3'), tensor(0.9167, device='cuda:3'), tensor(1., device='cuda:3'), tensor(1., device='cuda:3'), tensor(0.8125, device='cuda:3'), tensor(0.7500, device='cuda:3'), tensor(1., device='cuda:3'))
Trial 164 8-Bit QAT Model Prune Iter: 14, Test Mean Dist: 0.3854779005050659, Val Mean Dist: 0.3857680559158325, Val Loss: 0.0007070374309218355, Sparsities: (tensor(0.9757, device='cuda:3'), tensor(1., device='cuda:3'), tensor(0.7500, device='cuda:3'), tensor(0.8438, device='cuda:3'), tensor(0.7595, device='cuda:3'), tensor(0.8941, device='cuda:3'), tensor(1., device='cuda:3'), tensor(1., device='cuda:3'), tensor(0.8438, device='cuda:3'), tensor(0.7500, device='cuda:3'), tensor(1., device='cuda:3'))
Trial 164 8-Bit QAT Model Prune Iter: 15, Test Mean Dist: 0.3860263228416443, Val Mean Dist: 0.3858737051486969, Val Loss: 0.0007084144121368549, Sparsities: (tensor(0.9757, device='cuda:3'), tensor(1., device='cuda:3'), tensor(0.7578, device='cuda:3'), tensor(0.8906, device='cuda:3'), tensor(0.7943, device='cuda:3'), tensor(0.9236, device='cuda:3'), tensor(1., device='cuda:3'), tensor(1., device='cuda:3'), tensor(0.9062, device='cuda:3'), tensor(0.8125, device='cuda:3'), tensor(1., device='cuda:3'))
Trial 164 6-Bit QAT Model Prune Iter: 13, Test Mean Dist: 0.24229267239570618, Val Mean Dist: 0.2425614297389984, Val Loss: 0.0004396306934982671, Sparsities: (tensor(0.9201, device='cuda:4'), tensor(0.9609, device='cuda:4'), tensor(0.4609, device='cuda:4'), tensor(0.6172, device='cuda:4'), tensor(0.7422, device='cuda:4'), tensor(0.8928, device='cuda:4'), tensor(0.9991, device='cuda:4'), tensor(0.9965, device='cuda:4'), tensor(0.5312, device='cuda:4'), tensor(0.4375, device='cuda:4'), tensor(0.7500, device='cuda:4'))
Trial 164 6-Bit QAT Model Prune Iter: 14, Test Mean Dist: 0.28699150681495667, Val Mean Dist: 0.2863830029964447, Val Loss: 0.0005085216055574295, Sparsities: (tensor(0.9514, device='cuda:4'), tensor(0.9609, device='cuda:4'), tensor(0.5781, device='cuda:4'), tensor(0.7188, device='cuda:4'), tensor(0.7951, device='cuda:4'), tensor(0.9084, device='cuda:4'), tensor(0.9993, device='cuda:4'), tensor(0.9983, device='cuda:4'), tensor(0.6562, device='cuda:4'), tensor(0.4375, device='cuda:4'), tensor(0.7500, device='cuda:4'))
Trial 164 5-Bit QAT Model Prune Iter: 13, Test Mean Dist: 0.351337194442749, Val Mean Dist: 0.3543456494808197, Val Loss: 0.0006915287896325546, Sparsities: (tensor(0.9792, device='cuda:4'), tensor(0.9844, device='cuda:4'), tensor(0.9062, device='cuda:4'), tensor(0.8828, device='cuda:4'), tensor(0.7109, device='cuda:4'), tensor(0.8763, device='cuda:4'), tensor(0.9939, device='cuda:4'), tensor(0.9941, device='cuda:4'), tensor(0.4062, device='cuda:4'), tensor(0.5000, device='cuda:4'), tensor(0.8750, device='cuda:4'))
Trial 164 7-Bit QAT Model Prune Iter: 16, Test Mean Dist: 0.38527947664260864, Val Mean Dist: 0.385293185710907, Val Loss: 0.0007052518028233733, Sparsities: (tensor(0.9201, device='cuda:3'), tensor(1., device='cuda:3'), tensor(0.7969, device='cuda:3'), tensor(0.9531, device='cuda:3'), tensor(0.8533, device='cuda:3'), tensor(0.9353, device='cuda:3'), tensor(1., device='cuda:3'), tensor(1., device='cuda:3'), tensor(0.9375, device='cuda:3'), tensor(0.8750, device='cuda:3'), tensor(1., device='cuda:3'))
Trial 164 8-Bit QAT Model Prune Iter: 16, Test Mean Dist: 0.3855028748512268, Val Mean Dist: 0.38542407751083374, Val Loss: 0.0007057219003659806, Sparsities: (tensor(0.9757, device='cuda:3'), tensor(1., device='cuda:3'), tensor(0.7891, device='cuda:3'), tensor(0.8984, device='cuda:3'), tensor(0.8359, device='cuda:3'), tensor(0.9392, device='cuda:3'), tensor(1., device='cuda:3'), tensor(1., device='cuda:3'), tensor(0.9688, device='cuda:3'), tensor(1., device='cuda:3'), tensor(1., device='cuda:3'))
Trial 164 5-Bit QAT Model Prune Iter: 14, Test Mean Dist: 0.34978172183036804, Val Mean Dist: 0.35267093777656555, Val Loss: 0.0006732985327419426, Sparsities: (tensor(0.9931, device='cuda:4'), tensor(0.9844, device='cuda:4'), tensor(0.9453, device='cuda:4'), tensor(0.9219, device='cuda:4'), tensor(0.7569, device='cuda:4'), tensor(0.9023, device='cuda:4'), tensor(0.9963, device='cuda:4'), tensor(0.9952, device='cuda:4'), tensor(0.5000, device='cuda:4'), tensor(0.5625, device='cuda:4'), tensor(0.8750, device='cuda:4'))
Trial 164 6-Bit QAT Model Prune Iter: 15, Test Mean Dist: 0.38530731201171875, Val Mean Dist: 0.3852953612804413, Val Loss: 0.0007052595153384443, Sparsities: (tensor(0.9549, device='cuda:4'), tensor(0.9844, device='cuda:4'), tensor(0.6172, device='cuda:4'), tensor(0.7500, device='cuda:4'), tensor(0.8385, device='cuda:4'), tensor(0.9275, device='cuda:4'), tensor(1., device='cuda:4'), tensor(0.9989, device='cuda:4'), tensor(0.6875, device='cuda:4'), tensor(0.5625, device='cuda:4'), tensor(1., device='cuda:4'))
Trial 164 7-Bit QAT Model Prune Iter: 17, Test Mean Dist: 0.38524821400642395, Val Mean Dist: 0.3854163885116577, Val Loss: 0.0007056831610887977, Sparsities: (tensor(0.9236, device='cuda:3'), tensor(1., device='cuda:3'), tensor(0.8359, device='cuda:3'), tensor(0.9688, device='cuda:3'), tensor(0.8750, device='cuda:3'), tensor(0.9518, device='cuda:3'), tensor(1., device='cuda:3'), tensor(1., device='cuda:3'), tensor(1., device='cuda:3'), tensor(1., device='cuda:3'), tensor(1., device='cuda:3'))
Trial 164 8-Bit QAT Model Prune Iter: 17, Test Mean Dist: 0.38613104820251465, Val Mean Dist: 0.3864755928516388, Val Loss: 0.0007099786266085825, Sparsities: (tensor(0.9757, device='cuda:3'), tensor(1., device='cuda:3'), tensor(0.8203, device='cuda:3'), tensor(0.9141, device='cuda:3'), tensor(0.8646, device='cuda:3'), tensor(0.9544, device='cuda:3'), tensor(1., device='cuda:3'), tensor(1., device='cuda:3'), tensor(1., device='cuda:3'), tensor(1., device='cuda:3'), tensor(1., device='cuda:3'))
Trial 164 8-Bit QAT Model Prune Iter: 18, Test Mean Dist: 0.3861105442047119, Val Mean Dist: 0.385904461145401, Val Loss: 0.0007084323816733169, Sparsities: (tensor(0.9792, device='cuda:3'), tensor(1., device='cuda:3'), tensor(0.8203, device='cuda:3'), tensor(0.9219, device='cuda:3'), tensor(0.8889, device='cuda:3'), tensor(0.9674, device='cuda:3'), tensor(1., device='cuda:3'), tensor(1., device='cuda:3'), tensor(1., device='cuda:3'), tensor(1., device='cuda:3'), tensor(1., device='cuda:3'))
Trial 164 5-Bit QAT Model Prune Iter: 15, Test Mean Dist: 0.3854482173919678, Val Mean Dist: 0.38538333773612976, Val Loss: 0.0007058798489327144, Sparsities: (tensor(0.9931, device='cuda:4'), tensor(0.9844, device='cuda:4'), tensor(0.9531, device='cuda:4'), tensor(0.9453, device='cuda:4'), tensor(0.7891, device='cuda:4'), tensor(0.9236, device='cuda:4'), tensor(1., device='cuda:4'), tensor(0.9974, device='cuda:4'), tensor(0.5312, device='cuda:4'), tensor(0.5625, device='cuda:4'), tensor(0.8750, device='cuda:4'))
Trial 164 7-Bit QAT Model Prune Iter: 18, Test Mean Dist: 0.38529595732688904, Val Mean Dist: 0.38529902696609497, Val Loss: 0.0007053175546129101, Sparsities: (tensor(0.9271, device='cuda:3'), tensor(1., device='cuda:3'), tensor(0.8672, device='cuda:3'), tensor(1., device='cuda:3'), tensor(0.8976, device='cuda:3'), tensor(0.9627, device='cuda:3'), tensor(1., device='cuda:3'), tensor(1., device='cuda:3'), tensor(1., device='cuda:3'), tensor(1., device='cuda:3'), tensor(1., device='cuda:3'))
Trial 164 6-Bit QAT Model Prune Iter: 16, Test Mean Dist: 0.38693636655807495, Val Mean Dist: 0.3872307240962982, Val Loss: 0.0007133022715736713, Sparsities: (tensor(0.9583, device='cuda:4'), tensor(0.9922, device='cuda:4'), tensor(0.6406, device='cuda:4'), tensor(0.8047, device='cuda:4'), tensor(0.8750, device='cuda:4'), tensor(0.9436, device='cuda:4'), tensor(1., device='cuda:4'), tensor(0.9991, device='cuda:4'), tensor(0.7500, device='cuda:4'), tensor(0.5625, device='cuda:4'), tensor(1., device='cuda:4'))
Trial 164 8-Bit QAT Model Prune Iter: 19, Test Mean Dist: 0.38554441928863525, Val Mean Dist: 0.3854174315929413, Val Loss: 0.0007058150159926819, Sparsities: (tensor(0.9792, device='cuda:3'), tensor(1., device='cuda:3'), tensor(0.8438, device='cuda:3'), tensor(0.9297, device='cuda:3'), tensor(0.9071, device='cuda:3'), tensor(0.9774, device='cuda:3'), tensor(1., device='cuda:3'), tensor(1., device='cuda:3'), tensor(1., device='cuda:3'), tensor(1., device='cuda:3'), tensor(1., device='cuda:3'))
Trial 164 5-Bit QAT Model Prune Iter: 16, Test Mean Dist: 0.3856862187385559, Val Mean Dist: 0.3855005204677582, Val Loss: 0.0007062813653776954, Sparsities: (tensor(0.9931, device='cuda:4'), tensor(0.9922, device='cuda:4'), tensor(0.9531, device='cuda:4'), tensor(0.9453, device='cuda:4'), tensor(0.8281, device='cuda:4'), tensor(0.9436, device='cuda:4'), tensor(1., device='cuda:4'), tensor(0.9974, device='cuda:4'), tensor(0.5625, device='cuda:4'), tensor(0.6250, device='cuda:4'), tensor(0.8750, device='cuda:4'))
Trial 164 7-Bit QAT Model Prune Iter: 19, Test Mean Dist: 0.38606393337249756, Val Mean Dist: 0.3859485983848572, Val Loss: 0.0007079503224563918, Sparsities: (tensor(0.9306, device='cuda:3'), tensor(1., device='cuda:3'), tensor(0.8906, device='cuda:3'), tensor(1., device='cuda:3'), tensor(0.9149, device='cuda:3'), tensor(0.9731, device='cuda:3'), tensor(1., device='cuda:3'), tensor(1., device='cuda:3'), tensor(1., device='cuda:3'), tensor(1., device='cuda:3'), tensor(1., device='cuda:3'))
Trial 164 6-Bit QAT Model Prune Iter: 17, Test Mean Dist: 0.3852883279323578, Val Mean Dist: 0.3853093981742859, Val Loss: 0.0007053873788598659, Sparsities: (tensor(0.9618, device='cuda:4'), tensor(1., device='cuda:4'), tensor(0.6797, device='cuda:4'), tensor(0.8516, device='cuda:4'), tensor(0.9019, device='cuda:4'), tensor(0.9557, device='cuda:4'), tensor(1., device='cuda:4'), tensor(0.9996, device='cuda:4'), tensor(0.7500, device='cuda:4'), tensor(0.6250, device='cuda:4'), tensor(1., device='cuda:4'))
Trial 164 5-Bit QAT Model Prune Iter: 17, Test Mean Dist: 0.3854105472564697, Val Mean Dist: 0.3856494426727295, Val Loss: 0.0007069132344830516, Sparsities: (tensor(0.9931, device='cuda:4'), tensor(1., device='cuda:4'), tensor(0.9531, device='cuda:4'), tensor(0.9531, device='cuda:4'), tensor(0.8568, device='cuda:4'), tensor(0.9609, device='cuda:4'), tensor(1., device='cuda:4'), tensor(0.9974, device='cuda:4'), tensor(0.5625, device='cuda:4'), tensor(0.6250, device='cuda:4'), tensor(0.8750, device='cuda:4'))
Trial 164 6-Bit QAT Model Prune Iter: 18, Test Mean Dist: 0.3861576020717621, Val Mean Dist: 0.3858813941478729, Val Loss: 0.0007084804757531467, Sparsities: (tensor(0.9618, device='cuda:4'), tensor(1., device='cuda:4'), tensor(0.6953, device='cuda:4'), tensor(0.8828, device='cuda:4'), tensor(0.9271, device='cuda:4'), tensor(0.9661, device='cuda:4'), tensor(1., device='cuda:4'), tensor(0.9996, device='cuda:4'), tensor(0.7812, device='cuda:4'), tensor(0.6250, device='cuda:4'), tensor(1., device='cuda:4'))
Trial 164 6-Bit QAT Model Prune Iter: 19, Test Mean Dist: 0.3873516321182251, Val Mean Dist: 0.3871057629585266, Val Loss: 0.0007120991774302508, Sparsities: (tensor(0.9618, device='cuda:4'), tensor(1., device='cuda:4'), tensor(0.7344, device='cuda:4'), tensor(0.9297, device='cuda:4'), tensor(0.9410, device='cuda:4'), tensor(0.9744, device='cuda:4'), tensor(1., device='cuda:4'), tensor(0.9996, device='cuda:4'), tensor(0.8438, device='cuda:4'), tensor(0.6250, device='cuda:4'), tensor(1., device='cuda:4'))
Trial 164 5-Bit QAT Model Prune Iter: 18, Test Mean Dist: 0.38528820872306824, Val Mean Dist: 0.38539063930511475, Val Loss: 0.0007054480998444238, Sparsities: (tensor(0.9931, device='cuda:4'), tensor(1., device='cuda:4'), tensor(0.9531, device='cuda:4'), tensor(0.9531, device='cuda:4'), tensor(0.8854, device='cuda:4'), tensor(0.9722, device='cuda:4'), tensor(1., device='cuda:4'), tensor(0.9976, device='cuda:4'), tensor(0.5625, device='cuda:4'), tensor(0.6250, device='cuda:4'), tensor(0.8750, device='cuda:4'))
Trial 164 5-Bit QAT Model Prune Iter: 19, Test Mean Dist: 0.3860004246234894, Val Mean Dist: 0.38629329204559326, Val Loss: 0.0007080103470278638, Sparsities: (tensor(0.9931, device='cuda:4'), tensor(1., device='cuda:4'), tensor(0.9609, device='cuda:4'), tensor(0.9609, device='cuda:4'), tensor(0.9089, device='cuda:4'), tensor(0.9796, device='cuda:4'), tensor(1., device='cuda:4'), tensor(0.9978, device='cuda:4'), tensor(0.5938, device='cuda:4'), tensor(0.6250, device='cuda:4'), tensor(0.8750, device='cuda:4'))
